timestamp,page,load_time_ms,iteration
2025-04-16 14:09:09,11-003066SubjectVisit,1707.3999999761581,1
2025-04-16 14:09:26,11-003066Calendar,1907.9000000953674,1
2025-04-16 14:09:43,11-003066OnStudy,1616.0999999046326,1
2025-04-16 14:09:54,11-003066CRA2,1909.2999999523163,1
2025-04-16 14:10:11,11-003066SAE,981.6000000238419,1
2025-04-16 14:10:26,11-003066Deviations,949.6000000238419,1
2025-04-16 14:10:37,11-003066CovA,196.40000009536743,1
2025-04-16 14:10:50,11-003066Proc,3230.7000000476837,1
2025-04-16 14:11:10,11-003066PhysEx,1947.8999999761581,1
2025-04-16 14:11:21,11-003066BG,291.39999997615814,1
2025-04-16 14:11:32,11-003066Financials,1620.2000000476837,1
2025-04-16 14:11:51,11-003066SubRel,3220.8000000715256,1
2025-04-16 14:12:16,11-003066PhysEx2,286.90000009536743,1
2025-04-16 14:12:43,11-003066Inv,246.10000002384186,1
2025-04-16 14:12:53,11-003066Spec,277.5,1
2025-04-16 14:13:04,11-003066SelectArm,427.89999997615814,1
2025-04-16 14:13:26,11-003066PhysEx3,1650,1
2025-04-16 14:13:46,11-003066Visits,93.5,1
2025-04-16 14:14:38,LoginPage,1936.8999999761581,2
2025-04-16 14:14:50,UsernameEntryStep,107.89999997615814,2
2025-04-16 14:15:04,LoginComplete,2399.6999999284744,2
2025-04-16 14:15:25,11-003066Protocol,458.3000000715256,2
2025-04-16 14:15:40,11-003066Mgmt,541.5,2
2025-04-16 14:15:56,11-003066Staff,480.6999999284744,2
2025-04-16 14:16:12,11-003066Reviews,666.0999999046326,2
2025-04-16 14:16:27,11-003066Annotations,287.7999999523163,2
2025-04-16 14:16:38,11-003066CRA,982.8999999761581,2
2025-04-16 14:16:59,11-003066SubjectVisit,509,2
2025-04-16 14:17:14,11-003066Calendar,661.8999999761581,2
2025-04-16 14:17:31,11-003066OnStudy,2178.7000000476837,2
2025-04-16 14:17:44,11-003066CRA2,2582.399999976158,2
2025-04-16 14:17:59,11-003066SAE,587.8000000715256,2
2025-04-16 14:18:16,11-003066Deviations,1884.2999999523163,2
2025-04-16 14:18:27,11-003066CovA,448.8000000715256,2
2025-04-16 14:18:39,11-003066Proc,1903.2999999523163,2
2025-04-16 14:19:02,11-003066PhysEx,3128.9000000953674,2
2025-04-16 14:19:13,11-003066BG,218.39999997615814,2
2025-04-16 14:19:23,11-003066Financials,400.60000002384186,2
2025-04-16 14:19:43,11-003066SubRel,4951.899999976158,2
2025-04-16 14:20:08,11-003066PhysEx2,1661.1000000238419,2
2025-04-16 14:20:36,11-003066Inv,220.19999992847443,2
2025-04-16 14:20:46,11-003066Spec,274.90000009536743,2
2025-04-16 14:20:56,11-003066SelectArm,359.89999997615814,2
2025-04-16 14:21:17,11-003066PhysEx3,279.89999997615814,2
2025-04-16 14:21:37,11-003066Visits,86.89999997615814,2
